S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
14.7,26.475,7.65,15.524999999999999,15.75,7.3500000000000005,17.875,4.05,22.125,12.0,13.075,49.5,6.75,15.0,20.475,17.85,22.35,16.371153846153845,582.4357988165681,19.200000000000003,16.12,12.075000000000001,18.91875
15.0,27.75,6.75,15.0,17.25,6.75,18.0,4.25,22.0,12.0,13.0,49.5,6.75,15.0,19.5,18.75,22.5,16.46153846153846,595.6952662721894,19.6,16.1,11.833333333333334,18.9375
15.225,28.2,7.5,14.7,16.425,6.525,18.45,4.8,21.325,12.75,13.7,46.425,6.375,13.95,21.9,17.1,22.425,16.338461538461537,563.1020710059172,19.125,16.51,11.408333333333333,18.84375
15.45,28.65,8.25,14.4,15.6,6.3,18.9,5.35,20.65,13.5,14.4,43.35,6.0,12.9,24.3,15.45,22.35,16.215384615384615,530.5088757396451,18.650000000000002,16.92,10.983333333333334,18.75
15.675,29.1,9.0,14.1,14.775,6.075,19.35,5.9,19.975,14.25,15.1,40.275,5.625,11.85,26.7,13.8,22.275,16.092307692307692,497.91568047337284,18.175,17.330000000000002,10.558333333333334,18.65625
15.9,29.55,9.75,13.8,13.95,5.85,19.8,6.45,19.3,15.0,15.8,37.2,5.25,10.8,29.1,12.15,22.2,15.969230769230768,465.32248520710067,17.7,17.740000000000002,10.133333333333333,18.5625
16.125,30.0,10.5,13.5,13.125,5.625,20.25,7.0,18.625,15.75,16.5,34.125,4.875,9.75,31.5,10.5,22.125,15.846153846153845,432.7292899408285,17.225,18.15,9.708333333333334,18.46875
16.35,30.45,11.25,13.2,12.3,5.4,20.7,7.550000000000001,17.95,16.5,17.2,31.049999999999997,4.5,8.7,33.9,8.850000000000001,22.05,15.723076923076922,400.13609467455626,16.75,18.560000000000002,9.283333333333333,18.375
16.575,30.9,12.0,12.9,11.475000000000001,5.175,21.15,8.100000000000001,17.275,17.25,17.9,27.974999999999998,4.125,7.6499999999999995,36.3,7.200000000000001,21.975,15.6,367.5428994082841,16.275,18.97,8.858333333333334,18.28125
16.8,31.35,12.75,12.6,10.65,4.95,21.6,8.65,16.6,18.0,18.6,24.9,3.75,6.6,38.7,5.550000000000001,21.9,15.476923076923075,334.9497041420119,15.8,19.38,8.433333333333334,18.1875
17.025,31.8,13.5,12.3,9.825,4.725,22.05,9.2,15.925,18.75,19.3,21.825,3.375,5.549999999999999,41.099999999999994,3.9000000000000004,21.825,15.353846153846153,302.35650887573973,15.325,19.79,8.008333333333333,18.09375
17.25,32.25,14.25,12.0,9.0,4.5,22.5,9.75,15.25,19.5,20.0,18.75,3.0,4.5,43.5,2.25,21.75,15.23076923076923,269.7633136094675,14.85,20.2,7.583333333333333,18.0
16.2,30.0,15.525,11.025,10.275,4.05,22.6,10.0,15.675,18.0,19.95,18.75,3.15,8.175,43.2,2.25,21.525,15.015384615384615,273.3186390532545,14.645,19.82,7.625,18.7875
15.15,27.75,16.8,10.05,11.55,3.6,22.7,10.25,16.1,16.5,19.9,18.75,3.3,11.85,42.9,2.25,21.3,14.799999999999999,276.87396449704147,14.44,19.439999999999998,7.666666666666666,19.575
14.1,25.5,18.075,9.075,12.825,3.15,22.8,10.5,16.525,15.0,19.85,18.75,3.45,15.524999999999999,42.6,2.25,21.075,14.584615384615384,280.4292899408284,14.235,19.06,7.708333333333333,20.3625
13.05,23.25,19.35,8.1,14.1,2.7,22.9,10.75,16.95,13.5,19.8,18.75,3.6,19.2,42.3,2.25,20.85,14.369230769230768,283.98461538461544,14.03,18.68,7.75,21.15
12.0,21.0,20.625,7.125,15.375,2.25,23.0,11.0,17.375,12.0,19.75,18.75,3.75,22.875,42.0,2.25,20.625,14.153846153846153,287.53994082840245,13.825,18.299999999999997,7.791666666666666,21.9375
