S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3
8.4,11.7,6.75,2.25,7.425,5.925,8.1,12.025,7.95,7.275,4.3,6.75,5.475,0.0,25.275,17.325,21.45,9.316176470588236,219.37387543252595,7.3175,7.050000000000001,16.0125
8.7,11.1,6.75,2.25,7.65,6.15,8.55,10.45,7.6,7.95,4.65,6.75,5.8,0.0,26.7,17.1,23.1,9.485294117647058,222.9356401384083,7.265,7.233333333333333,16.725
9.0,10.5,6.75,2.25,7.875,6.375,9.0,8.875,7.25,8.625,5.0,6.75,6.125,0.0,28.125,16.875,24.75,9.654411764705882,226.49740484429066,7.2125,7.416666666666667,17.4375
9.3,9.9,6.75,2.25,8.1,6.6,9.45,7.300000000000001,6.9,9.3,5.35,6.75,6.45,0.0,29.55,16.65,26.4,9.823529411764707,230.059169550173,7.16,7.6000000000000005,18.15
9.6,9.3,6.75,2.25,8.325,6.825,9.9,5.725,6.550000000000001,9.975000000000001,5.699999999999999,6.75,6.775,0.0,30.975,16.425,28.049999999999997,9.992647058823529,233.62093425605536,7.1075,7.783333333333334,18.8625
9.9,8.7,6.75,2.25,8.55,7.05,10.35,4.15,6.2,10.65,6.05,6.75,7.1,0.0,32.4,16.2,29.7,10.161764705882353,237.18269896193772,7.055,7.966666666666667,19.575
10.2,8.100000000000001,6.75,2.25,8.775,7.275,10.8,2.575000000000001,5.85,11.325,6.4,6.75,7.425000000000001,0.0,33.825,15.975,31.35,10.330882352941176,240.74446366782007,7.0025,8.15,20.2875
10.5,7.5,6.75,2.25,9.0,7.5,11.25,1.0,5.5,12.0,6.75,6.75,7.75,0.0,35.25,15.75,33.0,10.5,244.30622837370242,6.95,8.333333333333334,21.0
10.5,7.5,6.3,2.25,9.075,7.2,11.025,1.125,5.175,12.0,6.4,7.525,8.425,0.0,34.875,14.625,32.025,10.354411764705883,237.54913494809688,7.0125,8.125,20.38125
10.5,7.5,5.85,2.25,9.15,6.9,10.8,1.25,4.85,12.0,6.05,8.3,9.1,0.0,34.5,13.5,31.05,10.208823529411765,230.79204152249136,7.075,7.916666666666667,19.7625
10.5,7.5,5.4,2.25,9.225,6.6,10.575,1.375,4.525,12.0,5.7,9.075,9.775,0.0,34.125,12.375,30.075,10.063235294117646,224.0349480968858,7.1375,7.708333333333334,19.14375
10.5,7.5,4.95,2.25,9.3,6.3,10.35,1.5,4.2,12.0,5.35,9.85,10.45,0.0,33.75,11.25,29.1,9.91764705882353,217.2778546712803,7.2,7.5,18.525
10.5,7.5,4.5,2.25,9.375,6.0,10.125,1.625,3.875,12.0,5.0,10.625,11.125,0.0,33.375,10.125,28.125,9.772058823529413,210.52076124567475,7.2625,7.291666666666667,17.90625
10.5,7.5,4.05,2.25,9.45,5.7,9.9,1.75,3.55,12.0,4.65,11.4,11.8,0.0,33.0,9.0,27.15,9.626470588235295,203.7636678200692,7.325,7.083333333333334,17.2875
10.5,7.5,3.6,2.25,9.525,5.4,9.675,1.875,3.225,12.0,4.300000000000001,12.175,12.475000000000001,0.0,32.625,7.875,26.175,9.480882352941176,197.00657439446368,7.3875,6.875,16.66875
10.5,7.5,3.15,2.25,9.6,5.1,9.45,2.0,2.9,12.0,3.95,12.95,13.15,0.0,32.25,6.75,25.2,9.33529411764706,190.24948096885814,7.45,6.666666666666667,16.05
10.5,7.5,2.7,2.25,9.675,4.800000000000001,9.225,2.125,2.5749999999999997,12.0,3.6,13.725000000000001,13.825,0.0,31.875,5.625,24.225,9.189705882352943,183.49238754325262,7.5125,6.458333333333333,15.431249999999999
10.5,7.5,2.25,2.25,9.75,4.5,9.0,2.25,2.25,12.0,3.25,14.5,14.5,0.0,31.5,4.5,23.25,9.044117647058824,176.73529411764707,7.575,6.25,14.8125
9.9,7.5,3.3,2.25,9.525,7.725,10.6,2.6,2.25,11.85,3.225,13.725,14.625,0.0,33.525,5.025,22.8,9.436764705882354,206.5141868512111,7.725,7.275,15.3375
9.3,7.5,4.35,2.25,9.3,10.95,12.2,2.95,2.25,11.7,3.2,12.95,14.75,0.0,35.55,5.55,22.35,9.829411764705883,236.2930795847751,7.875,8.3,15.8625
8.7,7.5,5.4,2.25,9.075,14.175,13.8,3.3,2.25,11.55,3.175,12.175,14.875,0.0,37.575,6.075,21.9,10.222058823529412,266.07197231833914,8.025,9.325,16.3875
8.1,7.5,6.45,2.25,8.85,17.4,15.4,3.65,2.25,11.4,3.15,11.4,15.0,0.0,39.6,6.6,21.45,10.614705882352942,295.85086505190316,8.175,10.35,16.9125
7.5,7.5,7.5,2.25,8.625,20.625,17.0,4.0,2.25,11.25,3.125,10.625,15.125,0.0,41.625,7.125,21.0,11.007352941176471,325.6297577854672,8.325,11.375,17.4375
6.9,7.5,8.55,2.25,8.4,23.85,18.6,4.35,2.25,11.1,3.1,9.85,15.25,0.0,43.65,7.65,20.55,11.4,355.40865051903114,8.475,12.399999999999999,17.9625
6.3,7.5,9.600000000000001,2.25,8.175,27.075,20.200000000000003,4.699999999999999,2.25,10.95,3.075,9.075,15.375,0.0,45.675,8.175,20.1,11.79264705882353,385.18754325259516,8.625,13.424999999999999,18.4875
5.7,7.5,10.65,2.25,7.95,30.3,21.8,5.05,2.25,10.8,3.05,8.3,15.5,0.0,47.7,8.7,19.65,12.185294117647059,414.9664359861592,8.774999999999999,14.45,19.0125
5.1000000000000005,7.5,11.700000000000001,2.25,7.725,33.525000000000006,23.4,5.4,2.25,10.65,3.025,7.5249999999999995,15.625,0.0,49.724999999999994,9.225000000000001,19.2,12.577941176470588,444.7453287197232,8.924999999999999,15.475,19.5375
