S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3
86.1,64.0,64.0,93.5,36.7,91.5,69.9,63.8,73.0,67.2,6.0,86.7,140.03333333333333,50.8,62.3,47.1,86.4,69.94313725490197,2079.19907727797,65.4388888888889,91.5,70.49
86.8,62.0,66.0,93.0,39.6,84.0,73.2,62.733333333333334,72.0,65.6,8.0,88.6,139.6,48.4,64.4,46.8,85.2,69.7607843137255,2033.2835063437137,65.4,84.0,70.95333333333333
87.5,60.0,68.0,92.5,42.5,76.5,76.5,61.66666666666667,71.0,64.0,10.0,90.5,139.16666666666669,46.0,66.5,46.5,84.0,69.57843137254903,1987.3679354094577,65.36111111111111,76.5,71.41666666666666
88.2,58.0,70.0,92.0,45.4,69.0,79.8,60.6,70.0,62.4,12.0,92.4,138.73333333333335,43.6,68.6,46.2,82.8,69.39607843137256,1941.4523644752016,65.32222222222222,69.0,71.88
88.9,56.0,72.0,91.5,48.3,61.5,83.1,59.53333333333333,69.0,60.8,14.0,94.3,138.3,41.2,70.7,45.9,81.6,69.21372549019608,1895.5367935409456,65.28333333333333,61.5,72.34333333333333
89.6,54.0,74.0,91.0,51.2,54.0,86.4,58.46666666666667,68.0,59.2,16.0,96.2,137.86666666666667,38.8,72.8,45.6,80.4,69.03137254901961,1849.6212226066896,65.24444444444445,54.0,72.80666666666667
90.3,52.0,76.0,90.5,54.099999999999994,46.5,89.7,57.400000000000006,67.0,57.6,18.0,98.1,137.43333333333334,36.400000000000006,74.9,45.3,79.2,68.84901960784315,1803.7056516724335,65.20555555555556,46.5,73.27
91.0,50.0,78.0,90.0,57.0,39.0,93.0,56.333333333333336,66.0,56.0,20.0,100.0,137.0,34.0,77.0,45.0,78.0,68.66666666666667,1757.7900807381775,65.16666666666667,39.0,73.73333333333333
89.9,50.2,81.9,89.9,57.9,38.7,93.0,57.233333333333334,65.8,56.733333333333334,23.5,98.8,133.63333333333333,37.5,76.5,45.9,77.3,69.08235294117648,1759.424682814302,65.72222222222223,38.7,74.13666666666667
88.8,50.4,85.8,89.8,58.8,38.4,93.0,58.13333333333333,65.6,57.46666666666667,27.0,97.6,130.26666666666665,41.0,76.0,46.8,76.6,69.49803921568628,1761.0592848904266,66.27777777777779,38.4,74.54
87.7,50.6,89.7,89.7,59.7,38.1,93.0,59.03333333333333,65.4,58.2,30.5,96.4,126.9,44.5,75.5,47.7,75.9,69.91372549019609,1762.6938869665514,66.83333333333333,38.1,74.94333333333334
86.6,50.8,93.6,89.6,60.6,37.8,93.0,59.93333333333333,65.2,58.93333333333334,34.0,95.2,123.53333333333333,48.0,75.0,48.6,75.2,70.32941176470588,1764.328489042676,67.38888888888889,37.8,75.34666666666668
85.5,51.0,97.5,89.5,61.5,37.5,93.0,60.83333333333333,65.0,59.66666666666667,37.5,94.0,120.16666666666666,51.5,74.5,49.5,74.5,70.74509803921569,1765.9630911188005,67.94444444444444,37.5,75.75
84.4,51.2,101.4,89.4,62.4,37.2,93.0,61.733333333333334,64.8,60.400000000000006,41.0,92.8,116.8,55.0,74.0,50.4,73.8,71.1607843137255,1767.5976931949251,68.5,37.2,76.15333333333334
83.3,51.4,105.3,89.3,63.3,36.9,93.0,62.63333333333333,64.6,61.13333333333333,44.5,91.6,113.43333333333334,58.5,73.5,51.3,73.1,71.5764705882353,1769.2322952710497,69.05555555555556,36.9,76.55666666666667
82.2,51.6,109.2,89.2,64.2,36.6,93.0,63.53333333333333,64.4,61.86666666666667,48.0,90.4,110.06666666666666,62.0,73.0,52.2,72.4,71.9921568627451,1770.8668973471745,69.6111111111111,36.6,76.96000000000001
81.1,51.8,113.1,89.1,65.1,36.3,93.0,64.43333333333332,64.2,62.6,51.5,89.2,106.69999999999999,65.5,72.5,53.1,71.7,72.4078431372549,1772.501499423299,70.16666666666666,36.3,77.36333333333334
80.0,52.0,117.0,89.0,66.0,36.0,93.0,65.33333333333333,64.0,63.333333333333336,55.0,88.0,103.33333333333333,69.0,72.0,54.0,71.0,72.82352941176471,1774.1361014994236,70.72222222222221,36.0,77.76666666666668
79.9,55.0,111.8,88.2,65.1,37.1,92.23333333333333,65.19999999999999,67.23333333333333,61.6,49.5,87.93333333333334,101.5,71.4,73.8,56.4,69.6,72.55882352941177,1811.6059976931951,70.36666666666666,37.1,77.42000000000002
79.8,58.0,106.6,87.4,64.2,38.2,91.46666666666667,65.06666666666666,70.46666666666667,59.86666666666667,44.0,87.86666666666666,99.66666666666666,73.8,75.6,58.8,68.2,72.29411764705883,1849.0758938869667,70.0111111111111,38.2,77.07333333333334
