S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3
16882.733333333334,47.2,106.4,422.2,98.0,71.8,66.0,48.66666666666667,54.2,59.733333333333334,37.86666666666667,39.666666666666664,54.46666666666667,61.0,36.4,34.6,59.8,1069.4549019607846,31931758.037370242,55.99393939393939,16882.733333333334,136.41333333333333
15375.766666666668,51.3,106.6,451.3,115.0,76.2,66.0,45.833333333333336,54.3,61.1,38.13333333333333,40.0,54.03333333333333,61.5,37.1,35.9,56.7,983.9274509803923,28188936.329411767,56.50606060606061,15375.766666666668,145.88666666666666
13868.800000000001,55.4,106.8,480.4,132.0,80.6,66.0,43.0,54.4,62.46666666666667,38.4,40.333333333333336,53.6,62.0,37.8,37.2,53.6,898.4000000000001,24446114.62145329,57.018181818181816,13868.800000000001,155.36
12361.833333333334,59.5,107.0,509.5,149.0,85.0,66.0,40.16666666666667,54.5,63.833333333333336,38.66666666666667,40.66666666666667,53.16666666666667,62.5,38.5,38.5,50.5,812.872549019608,20703292.91349481,57.53030303030303,12361.833333333334,164.83333333333331
10854.866666666669,63.599999999999994,107.2,538.6,166.0,89.4,66.0,37.333333333333336,54.6,65.2,38.93333333333334,41.0,52.733333333333334,63.0,39.2,39.8,47.4,727.3450980392158,16960471.205536336,58.04242424242425,10854.866666666669,174.30666666666667
9347.900000000001,67.69999999999999,107.4,567.7,183.0,93.80000000000001,66.0,34.5,54.7,66.56666666666666,39.2,41.333333333333336,52.3,63.5,39.9,41.1,44.3,641.8176470588236,13217649.497577857,58.554545454545455,9347.900000000001,183.78
7840.933333333334,71.8,107.6,596.8,200.0,98.2,66.0,31.666666666666668,54.8,67.93333333333334,39.46666666666667,41.66666666666667,51.86666666666667,64.0,40.6,42.4,41.2,556.2901960784314,9474827.789619379,59.06666666666667,7840.933333333334,193.25333333333333
6333.966666666667,75.9,107.8,625.9000000000001,217.0,102.6,66.0,28.833333333333336,54.9,69.30000000000001,39.733333333333334,42.0,51.43333333333334,64.5,41.3,43.7,38.099999999999994,470.7627450980393,5732006.081660904,59.57878787878788,6333.966666666667,202.72666666666666
4827.0,80.0,108.0,655.0,234.0,107.0,66.0,26.0,55.0,70.66666666666667,40.0,42.333333333333336,51.0,65.0,42.0,45.0,35.0,385.2352941176471,1989184.373702422,60.09090909090909,4827.0,212.2
4623.3,85.5,113.2,624.4,217.0,118.9,73.4,33.233333333333334,55.03333333333333,71.30000000000001,39.233333333333334,45.03333333333333,51.53333333333333,65.8,42.0,45.0,40.3,373.1862745098039,1846780.584083045,62.484848484848484,4623.3,206.70666666666665
4419.6,91.0,118.4,593.8,200.0,130.8,80.8,40.46666666666667,55.06666666666667,71.93333333333334,38.46666666666667,47.733333333333334,52.06666666666667,66.6,42.0,45.0,45.6,361.1372549019608,1704376.7944636676,64.87878787878788,4419.6,201.21333333333334
4215.9,96.5,123.6,563.2,183.0,142.7,88.2,47.699999999999996,55.1,72.56666666666666,37.7,50.43333333333334,52.6,67.4,42.0,45.0,50.9,349.0882352941177,1561973.0048442904,67.27272727272728,4215.9,195.72
4012.2,102.0,128.8,532.6,166.0,154.6,95.6,54.93333333333333,55.13333333333333,73.2,36.93333333333334,53.13333333333333,53.13333333333333,68.2,42.0,45.0,56.2,337.03921568627453,1419569.2152249133,69.66666666666667,4012.2,190.22666666666666
3808.5,107.5,134.0,502.0,149.0,166.5,103.0,62.166666666666664,55.16666666666667,73.83333333333334,36.16666666666667,55.83333333333333,53.66666666666667,69.0,42.0,45.0,61.5,324.9901960784314,1277165.4256055362,72.06060606060606,3808.5,184.73333333333335
3604.8,113.0,139.2,471.4,132.0,178.4,110.4,69.39999999999999,55.2,74.46666666666667,35.400000000000006,58.53333333333333,54.2,69.8,42.0,45.0,66.8,312.94117647058823,1134761.635986159,74.45454545454545,3604.8,179.24
3401.1000000000004,118.5,144.4,440.79999999999995,115.0,190.3,117.80000000000001,76.63333333333333,55.233333333333334,75.1,34.63333333333333,61.233333333333334,54.733333333333334,70.6,42.0,45.0,72.1,300.8921568627451,992357.8463667817,76.84848484848484,3401.1000000000004,173.74666666666667
3197.4,124.0,149.6,410.2,98.0,202.2,125.2,83.86666666666666,55.266666666666666,75.73333333333333,33.86666666666667,63.93333333333333,55.266666666666666,71.4,42.0,45.0,77.4,288.843137254902,849954.0567474046,79.24242424242425,3197.4,168.25333333333333
2993.7,129.5,154.8,379.59999999999997,81.0,214.10000000000002,132.60000000000002,91.1,55.300000000000004,76.36666666666667,33.1,66.63333333333333,55.800000000000004,72.2,42.0,45.0,82.69999999999999,276.79411764705884,707550.2671280275,81.63636363636364,2993.7,162.76000000000002
2790.0,135.0,160.0,349.0,64.0,226.0,140.0,98.33333333333333,55.333333333333336,77.0,32.333333333333336,69.33333333333333,56.333333333333336,73.0,42.0,45.0,88.0,264.7450980392157,565146.4775086505,84.03030303030303,2790.0,157.26666666666668
5246.9,174.5,164.3,407.8,76.6,260.4,160.93333333333334,119.63333333333333,56.6,77.0,31.3,72.0,56.900000000000006,72.9,47.1,47.4,88.4,421.2156862745098,5883788.4175317185,88.57272727272728,5246.9,187.89333333333335
7703.8,214.0,168.6,466.6,89.2,294.8,181.86666666666667,140.93333333333334,57.86666666666667,77.0,30.26666666666667,74.66666666666666,57.46666666666667,72.8,52.2,49.8,88.8,577.6862745098039,11202430.357554788,93.11515151515152,7703.8,218.52
10160.7,253.5,172.9,525.4,101.8,329.2,202.79999999999998,162.23333333333335,59.13333333333333,77.0,29.233333333333334,77.33333333333333,58.03333333333333,72.7,57.3,52.2,89.2,734.1568627450979,16521072.297577856,97.65757575757576,10160.7,249.14666666666668
